│      CKB/USDT │      2 │        -0.46 │         -12.995 │         -1.3 │      3:20:00 │    0     0     2     0 │
│     IDEX/USDT │      1 │        -1.29 │         -14.449 │        -1.44 │      3:20:00 │    0     0     1     0 │
│      ARK/USDT │      1 │        -1.17 │         -15.988 │         -1.6 │      3:20:00 │    0     0     1     0 │
│      ATA/USDT │      1 │         -1.8 │         -16.210 │        -1.62 │      3:20:00 │    0     0     1     0 │
│      XAI/USDT │      1 │        -0.78 │         -18.974 │         -1.9 │      3:20:00 │    0     0     1     0 │
│     LUNA/USDT │      2 │        -0.82 │         -21.722 │        -2.17 │      2:20:00 │    0     0     2     0 │
│      GMX/USDT │      4 │        -0.32 │         -21.921 │        -2.19 │      2:32:00 │    1     0     3  25.0 │
│     RARE/USDT │      1 │        -2.32 │         -22.183 │        -2.22 │      3:20:00 │    0     0     1     0 │
│     CELO/USDT │      1 │        -1.98 │         -22.229 │        -2.22 │      3:20:00 │    0     0     1     0 │
│      SEI/USDT │      1 │        -1.61 │         -33.510 │        -3.35 │      3:20:00 │    0     0     1     0 │
│      INJ/USDT │      1 │        -2.91 │         -38.965 │         -3.9 │      3:20:00 │    0     0     1     0 │
│     MOVR/USDT │      4 │        -0.91 │         -40.887 │        -4.09 │      2:02:00 │    2     0     2  50.0 │
│      DYM/USDT │      2 │        -0.62 │         -49.233 │        -4.92 │      1:50:00 │    1     0     1  50.0 │
│     API3/USDT │      1 │         -4.7 │         -49.967 │         -5.0 │      3:20:00 │    0     0     1     0 │
│     CITY/USDT │      5 │         0.43 │         -53.695 │        -5.37 │      1:30:00 │    3     0     2  60.0 │
│   PORTAL/USDT │      2 │         -1.8 │         -54.791 │        -5.48 │      2:20:00 │    1     0     1  50.0 │
│      DAR/USDT │      1 │        -1.98 │         -67.086 │        -6.71 │      3:20:00 │    0     0     1     0 │
│      WIF/USDT │      2 │        -2.74 │         -85.757 │        -8.58 │      3:20:00 │    0     0     2     0 │
│    BEAMX/USDT │      1 │        -3.52 │         -91.778 │        -9.18 │      3:20:00 │    0     0     1     0 │
│      NFP/USDT │      2 │        -1.77 │         -94.494 │        -9.45 │      2:10:00 │    1     0     1  50.0 │
│      TRU/USDT │      4 │        -0.56 │        -105.292 │       -10.53 │      1:40:00 │    2     0     2  50.0 │
│     BLUR/USDT │      1 │        -3.61 │        -109.000 │        -10.9 │      3:20:00 │    0     0     1     0 │
│     BICO/USDT │      1 │        -6.33 │        -112.497 │       -11.25 │      3:20:00 │    0     0     1     0 │
│     TNSR/USDT │      1 │        -3.36 │        -114.673 │       -11.47 │      3:20:00 │    0     0     1     0 │
│      REN/USDT │      1 │        -4.83 │        -182.217 │       -18.22 │      3:20:00 │    0     0     1     0 │
│      REI/USDT │      1 │        -6.38 │        -184.211 │       -18.42 │      3:20:00 │    0     0     1     0 │
│     SAGA/USDT │      1 │        -4.89 │        -208.574 │       -20.86 │      3:20:00 │    0     0     1     0 │
│      AMP/USDT │      2 │        -4.73 │        -218.030 │        -21.8 │      3:18:00 │    0     0     2     0 │
│     GALA/USDT │      2 │        -5.41 │        -247.488 │       -24.75 │      2:38:00 │    0     0     2     0 │
│      KEY/USDT │      2 │         -4.4 │        -269.684 │       -26.97 │      1:45:00 │    1     0     1  50.0 │
│   PEOPLE/USDT │     17 │        -0.88 │        -668.446 │       -66.84 │      1:53:00 │   10     0     7  58.8 │
│         TOTAL │    263 │          0.4 │        1521.240 │       152.12 │      1:41:00 │  172     0    91  65.4 │
└───────────────┴────────┴──────────────┴─────────────────┴──────────────┴──────────────┴────────────────────────┘
                                         LEFT OPEN TRADES REPORT
┏━━━━━━━┳━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━┓
┃  Pair ┃ Trades ┃ Avg Profit % ┃ Tot Profit USDT ┃ Tot Profit % ┃ Avg Duration ┃  Win  Draw  Loss  Win% ┃
┡━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━┩
│ TOTAL │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
└───────┴────────┴──────────────┴─────────────────┴──────────────┴──────────────┴────────────────────────┘
                                                ENTER TAG STATS
┏━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━┓
┃ Enter Tag ┃ Entries ┃ Avg Profit % ┃ Tot Profit USDT ┃ Tot Profit % ┃ Avg Duration ┃  Win  Draw  Loss  Win% ┃
┡━━━━━━━━━━━╇━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━┩
│        e0 │     263 │          0.4 │        1521.240 │       152.12 │      1:41:00 │  172     0    91  65.4 │
│     TOTAL │     263 │          0.4 │        1521.240 │       152.12 │      1:41:00 │  172     0    91  65.4 │
└───────────┴─────────┴──────────────┴─────────────────┴──────────────┴──────────────┴────────────────────────┘
                                                  EXIT REASON STATS
