Result for strategy KamaFama
                                                  BACKTESTING REPORT
┏━━━━━━━━━━━━━━━┳━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━┓
┃          Pair ┃ Trades ┃ Avg Profit % ┃ Tot Profit USDT ┃ Tot Profit % ┃     Avg Duration ┃  Win  Draw  Loss  Win% ┃
┡━━━━━━━━━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━┩
│      SYS/USDT │      2 │         -0.2 │          -0.244 │        -0.24 │          3:22:00 │    0     0     2     0 │
│    CHESS/USDT │      1 │        -0.55 │          -0.455 │        -0.45 │          3:15:00 │    0     0     1     0 │
│     LOKA/USDT │      4 │        -0.25 │          -0.812 │        -0.81 │          7:50:00 │    2     0     2  50.0 │
│     LINA/USDT │      1 │        -1.69 │          -0.928 │        -0.93 │          3:35:00 │    0     0     1     0 │
│      VIC/USDT │      1 │        -1.44 │          -0.946 │        -0.95 │         17:40:00 │    0     0     1     0 │
│      SUN/USDT │      5 │         0.03 │          -1.080 │        -1.08 │          4:51:00 │    3     0     2  60.0 │
│     BAKE/USDT │      2 │        -0.44 │          -1.138 │        -1.14 │          6:20:00 │    1     0     1  50.0 │
│      RSR/USDT │      1 │         -2.4 │          -1.432 │        -1.43 │          2:35:00 │    0     0     1     0 │
│     FIDA/USDT │      1 │        -2.62 │          -1.518 │        -1.52 │          2:35:00 │    0     0     1     0 │
│    FLOKI/USDT │      3 │         -0.1 │          -1.556 │        -1.56 │         13:13:00 │    2     0     1  66.7 │
│      RAY/USDT │      1 │        -3.67 │          -1.592 │        -1.59 │          7:20:00 │    0     0     1     0 │
│      SLF/USDT │      1 │        -2.35 │          -1.671 │        -1.67 │          5:50:00 │    0     0     1     0 │
│      WLD/USDT │      1 │        -3.13 │          -1.801 │         -1.8 │         21:35:00 │    0     0     1     0 │
│     DOGS/USDT │      1 │        -2.86 │          -2.190 │        -2.19 │         10:30:00 │    0     0     1     0 │
│      GNS/USDT │      1 │        -4.58 │          -2.705 │        -2.71 │         10:20:00 │    0     0     1     0 │
│       ZK/USDT │      2 │        -2.41 │          -2.896 │         -2.9 │         11:55:00 │    0     0     2     0 │
│      ACE/USDT │      4 │        -1.29 │          -3.057 │        -3.06 │          6:05:00 │    1     0     3  25.0 │
│       BB/USDT │      2 │        -3.09 │          -3.133 │        -3.13 │         12:38:00 │    0     0     2     0 │
│     HOOK/USDT │      1 │         -6.0 │          -3.185 │        -3.19 │         13:15:00 │    0     0     1     0 │
│      FIS/USDT │      1 │        -5.16 │          -3.403 │         -3.4 │         10:05:00 │    0     0     1     0 │
│   BURGER/USDT │      8 │        -0.91 │          -3.686 │        -3.69 │          8:36:00 │    4     0     4  50.0 │
│       OM/USDT │      1 │         -5.4 │          -3.891 │        -3.89 │          4:45:00 │    0     0     1     0 │
│     TNSR/USDT │      1 │        -7.51 │          -4.642 │        -4.64 │         13:55:00 │    0     0     1     0 │
│      FIO/USDT │      3 │        -2.48 │          -5.703 │         -5.7 │          6:10:00 │    1     0     2  33.3 │
│     STMX/USDT │      5 │        -1.95 │          -6.268 │        -6.27 │          7:40:00 │    1     0     4  20.0 │
│      UMA/USDT │      2 │        -5.17 │          -6.318 │        -6.32 │         20:40:00 │    0     0     2     0 │
│     SAGA/USDT │      3 │        -3.53 │          -6.410 │        -6.41 │         14:00:00 │    0     0     3     0 │
│      ZRO/USDT │      2 │        -4.62 │          -7.062 │        -7.06 │         16:40:00 │    1     0     1  50.0 │
│ 1000SATS/USDT │      5 │        -2.83 │          -8.094 │        -8.09 │         16:13:00 │    2     0     3  40.0 │
│   PORTAL/USDT │      1 │       -18.16 │         -12.501 │        -12.5 │   1 day, 2:35:00 │    0     0     1     0 │
│       IO/USDT │      7 │         -3.9 │         -17.495 │        -17.5 │          8:53:00 │    4     0     3  57.1 │
│     HARD/USDT │     10 │        -3.51 │         -22.974 │       -22.97 │          8:39:00 │    3     0     7  30.0 │
