freqtrade backtesting -c user_data/configs/webserver_config.json -s NASOSv5_mod4_E0V1E --timerange=20240101- --enable-protections
Result for strategy NASOSv5_mod4_E0V1E
                                                 BACKTESTING REPORT
┏━━━━━━━━━━━━━━━━━┳━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━┓
┃            Pair ┃ Trades ┃ Avg Profit % ┃ Tot Profit USDT ┃ Tot Profit % ┃ Avg Duration ┃  Win  Draw  Loss  Win% ┃
┡━━━━━━━━━━━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━┩
│        GMT/USDT │      5 │          2.3 │           4.729 │         4.73 │      2:09:00 │    4     0     1  80.0 │
│        WAN/USDT │     16 │         0.98 │           3.491 │         3.49 │      2:35:00 │   11     0     5  68.8 │
│       CELR/USDT │      2 │         0.57 │           2.218 │         2.22 │      6:00:00 │    2     0     0   100 │
│       OSMO/USDT │      4 │         2.34 │           2.185 │         2.19 │      1:42:00 │    4     0     0   100 │
│       ALGO/USDT │      3 │         0.27 │           1.807 │         1.81 │      2:40:00 │    2     0     1  66.7 │
│        GRT/USDT │      1 │         2.04 │           1.739 │         1.74 │      6:00:00 │    1     0     0   100 │
│       ANKR/USDT │      4 │         2.17 │           1.711 │         1.71 │      3:15:00 │    3     0     1  75.0 │
│        FET/USDT │     10 │         1.07 │           1.239 │         1.24 │      3:26:00 │    7     0     3  70.0 │
│         OP/USDT │      1 │         3.13 │           1.111 │         1.11 │      0:05:00 │    1     0     0   100 │
│        ETC/USDT │      1 │         2.94 │           1.019 │         1.02 │      1:15:00 │    1     0     0   100 │
│        ONE/USDT │      2 │          0.4 │           0.975 │         0.98 │      6:00:00 │    2     0     0   100 │
│     PENDLE/USDT │      7 │         1.05 │           0.933 │         0.93 │      5:11:00 │    4     0     3  57.1 │
│       BONK/USDT │     32 │        -0.37 │           0.511 │         0.51 │      2:59:00 │   20     0    12  62.5 │
│        CHR/USDT │     12 │        -0.74 │           0.059 │         0.06 │      3:43:00 │    6     0     6  50.0 │
